Intervalos Acumulados,MAE,MSE,SMAPE
Intervalos 1 a 1,64.9412841796875,6874.7333984375,19.199486
Intervalos 1 a 2,113.304931640625,19965.427734375,23.10901
Intervalos 1 a 3,222.59164428710938,68864.3671875,24.426456
Intervalos 1 a 4,9.501299858093262,129.46095275878906,37.18084
Intervalos 1 a 5,60.04093551635742,4799.98291015625,27.831013
Intervalos 1 a 6,19.941862106323242,639.126708984375,15.562874
Intervalos 1 a 7,11.605961799621582,253.3121795654297,37.0798
Intervalos 1 a 8,3.927879810333252,26.029203414916992,54.074604
